"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"147","PITPNM3",931.678255423458,-1.5094110640735,0.519159458960594,-3.48100761165331,0.000499531295408235,0.0401953359057646
"148","PKD2",9475.21389142231,0.760392251180131,0.188236620884713,4.03932347473302,5.36055943214921e-05,0.00738252483199496
"149","PLAC9",3169.8171570656,1.31705416552628,0.277865381788992,4.73730703639829,2.16576911288862e-06,0.000566709584539188
"150","PLEKHG4",3552.64309764402,-0.691587619499289,0.164279112709739,-4.20981754346842,2.55577001406286e-05,0.00409444787967213
"151","PLEKHN1",116.090046441702,-1.16162365201865,0.33127065367799,-3.50071088938404,0.000464018938746469,0.0385454885625374
"152","PNMA2",78.244674033014,2.80920605637238,0.475525436530748,5.80019962571724,6.62360204813964e-09,5.64728166750661e-06
"153","PRICKLE1",231.329335571899,2.56169058097352,0.438052612983328,5.80006506969638,6.62891917040176e-09,5.64728166750661e-06
"154","PTK2B",625.604199703709,1.76603646984784,0.253710514048306,6.9564127250949,3.49046319356281e-12,6.85003401736702e-09
"155","RARRES2",287.41066464961,2.32638701731831,0.409992417328146,5.64262801747593,1.67473924116446e-08,1.09555858692842e-05
"156","RASSF5",240.944885153335,1.45298122191478,0.372794650728141,3.88792748599721,0.000101103819788061,0.0116715439020041
"157","RBFA",502.507084920532,-0.687672183432438,0.183100898359268,-3.75484689674286,0.000173447468986989,0.0180339421397068
"158","RFLNA",424.101886323261,-1.84505398927971,0.47118419654773,-3.99780903652188,6.39314947032953e-05,0.00829524352761765
"159","RFX8",862.303750003899,-1.56026959795282,0.443599112050186,-3.55328298131109,0.000380454964656189,0.0330007897519457
"160","RGS7",41.2428270366228,1.81172806766099,0.458823225726832,3.90338975287299,9.48547678582453e-05,0.0113680904990416
"161","RHOJ",1098.02305836422,2.76553503728397,0.384006707995802,7.16891845809216,7.55925619172672e-13,1.97800537016849e-09
"162","SALL1",630.182456442378,-1.26412128332849,0.364638678764894,-3.47289559719414,0.000514875599414573,0.0408416787825962
"163","SAMD5",168.460840900605,1.96323541676091,0.517876956900129,3.92376230201892,8.71767518218767e-05,0.0106098837488641
"164","SCRG1",269.651224321182,2.09305936457719,0.472054815602834,4.39399321912333,1.11287288366988e-05,0.00224001336841245
"165","SEMA3B",1437.94972448833,1.17262949613459,0.292413763645259,4.00769320869828,6.13146965059983e-05,0.00822769859097584
"166","SERPINE2",224917.573900891,1.91366653558763,0.3618449594599,5.275565810986,1.32347104146983e-07,6.34379904609771e-05
"167","SERTAD4",601.112278957866,1.87683821146916,0.459535614088111,4.05313094262042,5.05366970086251e-05,0.00702147029234879
"168","SFRP4",63.5630057529759,3.90569824551252,0.514789473559146,6.79051784442938,1.11731755963343e-11,1.94909840958276e-08
"169","SH3BP2",2075.62951702495,-0.74337417564643,0.186988043566584,-3.97546418067215,7.0242116059609e-05,0.0088224097770869
"170","SHANK2",136.875412166952,2.70464208457799,0.480194549418723,5.55541614190086,2.76951151655871e-08,1.67235887730661e-05
"171","SLC24A3",34.3075557878979,-0.713170048418317,0.437367575129795,-3.49330490362422,0.000477081445335817,0.0392155952448813
"172","SLC40A1",2785.12837567523,2.22342707972907,0.519800776072154,4.33105157640385,1.48398913056182e-05,0.00274101521762594
"173","SLC8B1",1271.04996993954,0.783517808144684,0.208370166253305,3.75995775109173,0.000169942054836287,0.0177872684061981
"174","SLC9A3R1",1143.36545708199,-0.982777559382937,0.286933497017236,-3.4262062318303,0.000612075458348977,0.0455430554316538
"175","SNAP25",25.6898025474589,-2.07551449885397,0.46814156573169,-4.2574599514445,2.0676268470237e-05,0.0034817578970837
"176","ST3GAL6",130.712693412487,2.32786437641534,0.376619116502136,6.14561053605379,7.9656517495829e-10,8.33738216456344e-07
"177","STX1B",241.90441046598,-1.35518607683147,0.347437611740087,-3.90106922738367,9.57687568841638e-05,0.0113906779021316
"178","SULF1",99124.6358807906,1.30070412000751,0.376617863051806,3.44609658546572,0.000568747042003004,0.0435302818332051
"179","SYNPO2",4718.47467442082,1.74676222826267,0.374834571989815,4.6474406585131,3.36078730005015e-06,0.000837529533504561
"180","SYPL2",706.643384370434,2.092389711828,0.481444819733503,4.30444923926681,1.67401667964994e-05,0.00302092665178208
"181","TANC2",2792.30646118109,-0.730920591405833,0.158741095540927,-4.60438722631668,4.13682111809149e-06,0.000955118993441711
"182","TEX2",3430.84692161484,0.69494449153175,0.143553328521249,4.84097146370708,1.29205927611886e-06,0.000390102512212809
"183","THSD7B",29.3422432582373,1.84261648959607,0.518419019263858,3.59339373463322,0.00032639879847937,0.029410905311877
"184","TMEM229B",43.6961019132107,1.69568435930235,0.456644059391943,3.68185577875704,0.000231542387022313,0.0227200967265644
"185","TMTC2",827.242159133512,1.61362928793353,0.34961229307674,4.6068894820621,4.0873709836521e-06,0.000955118993441711
"186","TNFRSF1B",600.139736289275,-1.51379969173888,0.350549217967768,-4.32459819064338,1.52810129951081e-05,0.00278967330259532
"187","TOX2",488.610343394344,-1.6363338491887,0.51809388819002,-3.47279250492001,0.000515073401207264,0.0408416787825962
"188","TPM4",106321.425096201,-0.602556372249671,0.175450534437117,-3.43446103128191,0.000593733433485825,0.0446010282570691
"189","TPTEP1",41.259535647077,-1.31029791902956,0.505501318483965,-3.46193826140954,0.000536300164291161,0.0416827355414418
"190","TRIM55",636.147657802685,-1.93027687850127,0.517903709273809,-6.3097402224749,2.79504218178874e-10,3.37555094262178e-07
"191","TRIO",21277.542625298,-0.606974303275561,0.173575507994764,-3.49699466652793,0.000470531239457237,0.0388807392604138
"192","TRPC6",88.2947097494769,2.74099704291227,0.469577168229932,5.74835628037433,9.01151969809678e-09,6.7371837742914e-06
"193","TSPOAP1",295.261554356134,-2.62550333986114,0.364160136270591,-7.19094882698611,6.43425964723379e-13,1.97800537016849e-09
"194","TUBA1A",26998.5976571706,-0.849029213616336,0.163182375973759,-5.20311340947882,1.95977189210895e-07,8.54678297391957e-05
"195","USP53",8230.26247996616,1.62722588769792,0.36124389476484,4.49479533479996,6.96368922070783e-06,0.0014976701474673
"196","VCAN",47078.4548930732,0.9945621057676,0.21553747616379,4.61368714918913,3.95587734048844e-06,0.000941019306752554
"197","VIM",124938.561735525,-1.29367296597823,0.257169775697299,-5.0325918697195,4.83892585003613e-07,0.000185295453281871
"198","WDR63",124.274919524771,1.44998970085838,0.346516770513425,4.17696637122691,2.95422681399534e-05,0.00455019590084254
"199","WNT7B",43.2100563328707,-1.26636235159065,0.503538103139842,-3.41635311500824,0.000634658917937852,0.0467800235287525
"200","ZNF219",1572.54491573218,1.14676512607084,0.288707769552533,3.96984144181101,7.19204760261436e-05,0.008961519631829
"201","ZNF582-AS1",120.756646629372,1.18326429790667,0.257272729372771,4.59677446336254,4.29081640831807e-06,0.000976316197254982
"202","ZNF664-RFLNA",424.101886323261,-1.84505398927971,0.47118419654773,-3.99780903652188,6.39314947032953e-05,0.00829524352761765
"203","ZNF668",625.984260394554,0.721617747418293,0.172756971757592,4.17709607059747,2.95254343484402e-05,0.00455019590084254
"204","ZSCAN18",766.832938305712,1.06154198828697,0.242740646991336,4.37205786186287,1.23080893650359e-05,0.00238564201272918
