"","SYMBOL","HH07","HH17","HH18","HH19","HH27"
"3736","ZPR1",2795,1769,1993,1654,2321
"3737","MTCH2",7788,5847,5679,5043,5705
"3738","FNBP4",4308,4504,3153,3446,3938
"3739","TECTA",60,70,28,46,56
"3740","SC5D",3494,3521,5201,3227,4471
"3741","CRTAM",4,0,77,0,4
"3742","JHY",511,371,550,384,360
"3743","B3GAT1",16,0,0,0,0
"3744","HSPA8",90530,54281,61504,53079,57749
"3745","P2RX3",0,0,0,0,0
"3746","VWA5A",236,570,295,428,228
"3747","DNAJC4",755,759,717,609,825
"3748","SIAE",2038,3845,3561,3164,1541
"3749","SNX15",55,45,22,37,35
"3750","LPXN",7198,3866,3355,4476,1412
"3751","DTX4",49,339,310,62,476
"3752","ATG2A",2069,2253,2024,1535,1417
"3753","EHD1",8234,7241,6948,4499,6256
"3754","OSBP",5254,4621,4712,3486,4295
"3755","UNC93B1",1217,1186,1115,1153,1531
"3756","PUS3",433,547,423,497,453
"3757","DCPS",900,671,459,398,742
"3758","KMT5B",1948,2135,1757,1790,2276
"3759","FOXRED1",1400,1015,862,755,1014
"3760","PPP6R3",4814,3850,3243,2652,3812
"3761","NRXN2",466,171,226,41,438
"3762","MS4A6A",0,0,0,0,2
"3763","MS4A4A",0,0,0,0,0
"3764","ST3GAL4",2544,1091,934,1182,1726
"3765","CPT1A",5010,4969,4049,3405,3213
"3766","CCND1",58985,27076,61730,23893,33134
"3767","CCDC86",2161,1033,939,745,979
"3768","PRPF19",8378,6340,4853,4423,5452
"3769","TMEM109",8357,6171,4828,3736,5115
"3770","CCKBR",0,0,2,0,0
"3771","HPX",103,40,25,36,43
"3772","TRIM3",2464,1551,1306,1196,1616
"3773","CHORDC1",3004,2553,2262,2074,2320
"3774","FOLR1",12,52,110,28,28
"3775","ANAPC15",704,313,256,314,405
"3776","FOLR3",590,393,366,210,197
"3777","PANX1",1972,2091,2094,1753,2402
"3778","ARHGEF17",10692,7339,11098,5567,8865
"3779","APOA5",0,0,0,0,2
"3780","APOA4",0,0,0,0,0
"3781","APOC3",0,0,2,0,2
"3782","CEP164",3914,2525,2096,1832,2399
"3783","RNF141",2599,3312,3333,2318,2270
"3784","CEP126",704,738,524,463,369
"3785","EIF4G2",76481,58749,48589,48828,60293
"3786","IL10RA",2,2,0,4,0
"3787","GALNT18",31,6,28,37,0
"3788","BIRC2",9601,4881,3923,4207,4647
"3789","UBE4A",3036,3018,2425,2184,2390
"3790","DDX6",12465,11226,9157,9185,11031
"3791","UPK2",18,8,3,9,10
"3792","CBL",3997,2399,2382,1816,2940
"3793","NECTIN1",1534,478,699,533,485
"3794","HIPK3",4956,5319,4418,4439,3516
"3795","KIAA1549L",7910,1442,4499,2156,1486
"3796","FBXO3",2211,2080,1385,1514,1643
"3797","PDHX",1307,1461,1827,1127,1560
"3798","SLC1A2",213,98,198,244,152
"3799","COMMD9",2452,1975,1844,1779,1821
"3800","SLC15A3",336,894,656,646,499
"3801","CD5",6,7,7,2,5
"3802","ACCS",873,2822,1350,1122,1282
"3803","SCGB2A2",0,0,0,0,0
"3804","MDK",4182,5660,4083,5924,4954
"3805","AMBRA1",1916,1330,1184,1069,1189
"3806","MADD",4502,2646,2809,2155,2609
"3807","PTPMT1",123,100,109,77,148
"3808","NAA40",2466,1944,1593,1410,1408
"3809","CARS1",3427,6425,4427,4408,4578
"3810","SLC22A18",681,525,669,656,597
"3811","CD81",30808,25390,24266,22632,21255
"3812","SLC35F2",1126,422,308,373,655
"3813","C11orf21",2,0,0,2,8
"3814","ELMOD1",10,4,0,2,11
"3815","CALCA",0,0,0,0,0
"3816","SOX6",17,31,45,35,230
"3817","C11orf58",13849,13605,11270,10158,11981
"3818","PITPNM1",3218,2022,2362,1513,2206
"3819","RPS13",23040,23135,20816,22784,22866
"3820","AIP",3447,3141,2771,2598,3114
"3821","NUP98",7767,6158,5089,4580,4499
"3822","NDUFS8",4544,3302,3712,2730,3660
"3823","TCIRG1",7604,4318,5610,3739,4735
"3824","CHKA",594,436,557,353,595
"3825","EXPH5",16,612,121,28,4
"3826","HPS5",2632,4354,3054,1924,2503
"3827","GTF2H1",5118,5971,4649,4137,4085
"3828","POU2AF1",5,6,0,3,0
"3829","PTPN5",8,0,0,0,0
"3830","VWF",51,8,52,20,10
"3831","PSMD9",583,428,372,306,449
"3832","P3H3",9791,6662,8848,7488,10632
"3833","PPFIBP1",12818,4670,5999,5602,7722
"3834","PRPF40B",486,636,362,374,428
"3835","CD69",4,0,4,2,8
"3836","PRDM4",3072,2269,1995,1683,2735
"3837","CLEC2B",1207,1605,556,982,57
"3838","COQ5",2131,1751,1570,1536,1363
"3839","SELPLG",291,494,258,521,443
"3840","CORO1C",44290,23397,21359,21064,33411
"3841","ASIC1",513,505,432,465,541
"3842","DAO",1,7,0,0,0
"3843","CAPRIN2",4219,2351,1972,1703,1650
"3844","TSPAN11",195,263,153,223,54
"3845","KCTD10",11269,10749,9846,8537,14203
"3846","SLC11A2",2213,3317,2470,2005,1955
"3847","MLEC",16545,10985,12446,10375,13711
"3848","MVK",2546,1031,1242,1204,1815
