"","gene","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"106","ENSG00000165887","ANKRD2",60.1806967255633,-2.7163594799775,0.492925960290213,-5.38172171655754,7.37767590117e-08,4.16778869422312e-05
"107","ENSG00000166796","LDHC",48.9820322926175,-3.04487775803045,0.501200854884593,-5.7004316926427,1.19504411280115e-08,8.92100430206055e-06
"108","ENSG00000167552","TUBA1A",26956.0749232786,-0.843730892212951,0.212224096249572,-3.97594209181221,7.01011835431387e-05,0.0122104578201557
"109","ENSG00000167889","MGAT5B",142.513721279356,-1.95412839439112,0.552161782082107,-3.68765868035859,0.00022632695607339,0.0291461506173109
"110","ENSG00000169313","P2RY12",8.91340254633032,1.903410450892,0.558313528605419,3.80016232129268,0.000144601338670519,0.0209666833450765
"111","ENSG00000169429","CXCL8",87.5124901021309,-2.16238706352602,0.487935670387647,-4.43579200912169,9.17343876663628e-06,0.00231015924217147
"112","ENSG00000170961","HAS2",6519.63087034256,-1.22458078243563,0.301836188244996,-4.05909501857461,4.92632661721961e-05,0.00936091626846585
"113","ENSG00000171517","LPAR3",18.251435884594,-2.16359407481576,0.560560337914549,-3.68145818443672,0.000231903827413035,0.0293772957611348
"114","ENSG00000172403","SYNPO2",4705.39654139835,1.79674817351259,0.385285203595652,4.65428568529216,3.25105785668251e-06,0.00109602598903835
"115","ENSG00000173391","OLR1",182.972130045294,2.73379348685489,0.478928394253331,5.66017793994814,1.51216120419792e-08,9.87724796567029e-06
"116","ENSG00000173588","CEP83",615.32921289437,-0.934917711213649,0.243344322177757,-3.84141230508428,0.000122328439964455,0.018134106752745
"117","ENSG00000173848","NET1",2378.74413457842,-1.52602013063101,0.422790441943715,-3.62260093748533,0.000291655594228353,0.0354429373869828
"118","ENSG00000174059","CD34",216.621991116542,2.03923878915387,0.563658727535183,3.58304218046676,0.000339615741386361,0.0400246334767614
"119","ENSG00000174600","CMKLR1",134.967030098929,2.11648149356866,0.56991578866267,3.68657740075614,0.000227290333490655,0.0291461506173109
"120","ENSG00000175084","DES",319.098038119392,-2.72993437866223,0.558869943954751,-5.40501057559158,6.48045692092207e-08,3.76262529336425e-05
"121","ENSG00000175294","CATSPER1",54.3784290345224,-1.92621841910287,0.493974920167843,-3.88858165443681,0.000100831747649109,0.0160884365600128
"122","ENSG00000176531","PHLDB3",499.59286470473,1.01931792484484,0.286705109884545,3.55422437925554,0.000379095634002516,0.0432997647099486
"123","ENSG00000176771","NCKAP5",175.575065287575,1.50856449921949,0.400203836948442,3.76184529976916,0.000168664363601011,0.0230419773071133
"124","ENSG00000176809","LRRC37A3",248.369265157737,1.09441262299135,0.252735800268516,4.32944849964003,1.49483222128297e-05,0.00355056626014281
"125","ENSG00000176928","GCNT4",1339.37765667755,1.4599860832261,0.334075657383872,4.36644373414263,1.26285799573302e-05,0.00303405262377145
"126","ENSG00000178568","ERBB4",19.0714651480715,3.14999984151503,0.567555080800358,4.65811497297434,3.19117981290199e-06,0.00109602598903835
"127","ENSG00000178882","RFLNA",423.295444035948,-2.01655687036304,0.486026582345879,-4.19695624911008,2.70526168147235e-05,0.00582942058413765
"128","ENSG00000179104","TMTC2",824.199756558976,1.65210785754785,0.35839989423221,4.6034757757728,4.1549754522161e-06,0.00125578210320819
"129","ENSG00000179869","ABCA13",115.145155647547,2.61413380487201,0.576316949438604,4.63827670423232,3.51326228349972e-06,0.00113086672298889
"130","ENSG00000180818","HOXC10",735.293383456613,0.853213560400523,0.455756675644713,3.55179057268447,0.000382619265928747,0.0434647168284928
"131","ENSG00000181072","CHRM2",815.594847054921,-2.01392311475066,0.512099619252224,-4.01334258834476,5.98649295546407e-05,0.0106948440816333
"132","ENSG00000182379","NXPH4",270.081023025019,1.25172845495686,0.329462366530992,3.79670359914075,0.000146632938027645,0.0209666833450765
"133","ENSG00000182389","CACNB4",264.780294052979,3.39316474736539,0.494403722063338,6.79049004513952,1.11753289210975e-11,2.59540805676422e-08
"134","ENSG00000182901","RGS7",41.1115862154943,1.89959517046423,0.48303968866582,3.89404991552193,9.85843500084403e-05,0.0159737215804374
"135","ENSG00000183775","KCTD16",444.16573985755,2.89937706715255,0.573330002769037,5.17405874681375,2.29062750997568e-07,0.000106397102696693
"136","ENSG00000184349","EFNA5",552.342774472189,1.71948224231699,0.414294185753423,4.13922517962197,3.48480775685275e-05,0.00728394517337361
"137","ENSG00000185052","SLC24A3",34.3753193187763,-1.13919731860887,0.539789258115111,-3.79858415864634,0.000145525016535208,0.0209666833450765
