	HH07	HH17	HH18	HH19	HH27
TSPY8	0	0	0	0	0
TSPYL1	2974.3111343474	3382.99763610623	4314.88471407144	2950.02605518077	3189.60476661364
TSPYL2	1553.03178277386	2439.01278055432	2663.98129088695	2167.14821182761	1712.75957450994
TSPYL4	2771.7417713769	2562.90501428983	3237.71416494292	2412.68717178837	3721.73451706361
TSPYL5	1223.65070477305	2122.81021385622	1856.62025550367	1437.64840324853	2306.24822262611
TSPYL6	0	0	0	0	2.11582405745515
TSR1	3528.49479808378	3256.3316956453	3363.83202194262	3310.62433454344	3384.26057989951
TSR2	2815.38476421201	2480.61838143564	2833.51677078817	2925.11630561953	2357.02800000504
TSR3	3211.46551050799	2310.49770227643	2612.2936445756	2474.3684564162	3198.06806284346
TSSC2	440.547191826096	106.325424474506	402.129888302298	456.67874195601	315.257784560818
TSSC4	2097.33401417022	1939.74556997838	2132.63228680627	1858.74178868849	2459.64546679161
TSSK1B	0	0	0	0	0
TSSK2	0	0	0	0	0
TSSK3	13.9986958150348	17.5668092610053	24.8100702294477	20.1650353590965	10.5791202872758
TSSK4	130.105525810324	166.422403525313	102.341539696472	119.804033604044	160.802628366592
TSSK6	61.7589521251537	98.9288732067141	96.1390221391098	93.7081054922721	22.2161526032791
TST	708.992770396764	860.77365378926	1280.81987559524	888.447734350782	1197.55641651962
TSTA3	2379.77828855592	2571.22613446609	3098.15751990228	2689.06677406305	2896.5631346561
TSTD1	4.9407161700123	3.69827563389585	1.03375292622699	199.277996489895	10.5791202872758
TSTD2	810.277451882016	1134.44605069755	1143.33073640705	1105.5184090987	1116.09719030759
TSTD3	14.8221485100369	14.7931025355834	9.30377633604288	5.93089275267545	10.5791202872758
TTBK1	13.1752431200328	0	0	0	4.2316481149103
TTBK2	935.442261522328	1464.51715102276	879.723740219166	997.57616100001	1043.10126032539
TTC1	2880.43752711717	3153.70454680469	3229.44414153311	2964.26019778719	3412.82420467516
TTC12	530.30353558132	128.515078277881	175.737997458588	132.85199765993	14.8107684021861
TTC13	569.005812246416	993.911576609511	1100.94686643174	756.781915241387	996.553131061376
TTC14	2037.22196743507	2881.88128771334	2752.88404254247	3145.74551601906	2426.85019390106
TTC16	1.6469053900041	7.39655126779171	0	0	2.11582405745515
TTC17	2742.09747435682	4763.37901645786	3796.97449803172	4218.05092570278	3250.96366427984
TTC19	1585.14643787894	1876.87488420215	2148.13858069968	1931.09868027113	1783.63968043469
TTC21A	134.222789285334	289.390068352351	250.168208146931	279.938137926281	204.177021544422
TTC21B	847.332823157109	816.39434618251	1049.25922012039	920.47455521523	888.646104131164
TTC22	0	0	0	0	0
TTC23	783.926965641951	896.831841219745	907.635069227295	970.294054337703	988.089834831556
TTC23L	4.11726347501025	12.0193958101615	6.20251755736192	13.047964055886	1.05791202872758
TTC24	0	0	0	2.37235710107018	0
TTC25	41.9960874451045	57.3232723253857	25.8438231556747	45.0747849203334	37.0269210054651
TTC26	730.402540466818	732.258575511379	523.078980670855	617.999024828782	685.526994615469
TTC27	1377.63635873843	1372.06026017536	1051.32672597285	1303.61022703806	1281.13146678909
TTC28	2546.11573294634	4691.26264159689	4407.92247743187	3195.56501514153	3278.46937702676
TTC28-AS1	92.2267018402295	172.894385884631	139.556645040643	106.756069548158	185.134605027326
TTC29	0	0	4.13501170490795	0	9.52120825854818
TTC3	12859.860737847	17288.5140195546	21072.0196482109	20839.970954351	23821.0051508588
TTC3-AS1	0	4.62284454236982	2.06750585245397	9.48942840428072	2.11582405745515
TTC30A	443.017549911102	533.476260189477	451.750028761193	474.471420214036	410.469867146299
TTC30B	208.333531835518	199.706884230376	179.873009163496	189.788568085614	139.64438779204
TTC31	1683.13730858419	1133.52148178908	1251.87479366088	1365.29151166589	1249.39410592727
TTC32	325.263814525809	309.730584338778	257.40447863052	284.682852128422	379.7904183132
TTC33	620.883332031545	496.493503850518	473.45884021196	533.78034774079	595.604472173625
TTC34	18.1159592900451	33.2844807050627	22.7425643769937	46.2609634708685	6.34747217236545
TTC36	1.6469053900041	4.62284454236982	3.10125877868096	2.37235710107018	4.2316481149103
TTC37	7563.41300359382	7976.25597340488	8757.95479099503	8374.42056677773	9993.03702336068
TTC38	1506.91843185375	1269.43311133475	1036.85418500567	1938.21575157434	1459.91859964405
TTC39A	20.5863173750512	18.4913781694793	65.1264343523002	34.3991779655176	37.0269210054651
TTC39A-AS1	0	0	0	0	0
TTC39B	963.439653152398	1096.53872545012	1033.75292622699	989.272911146265	680.237434471831
TTC39C	1014.49372024252	2035.90073645967	1298.3936753411	2090.04660604283	1067.43323698612
TTC39C-AS1	13.1752431200328	26.8124983457449	18.6075526720858	2.37235710107018	6.34747217236545
TTC4	59.2885940401475	25.887929437271	43.4176229015335	34.3991779655176	29.6215368043721
TTC41P	29.6442970200738	27.7370672542189	27.9113290081287	5.93089275267545	12.6949443447309
TTC5	1030.13932144756	1085.44389854843	867.318705104442	1028.41680331392	1231.4096014389
TTC6	0	0	5.16876463113494	1.18617855053509	11.6370323160033
TTC7A	3021.24793796252	3845.28209034321	3240.8154237216	3674.78114955771	2680.74908079568
TTC7B	1391.63505455346	1304.56672985676	1467.92915524232	1163.64115807492	1289.59476301891
TTC8	1305.17252157825	2086.75202642574	2100.58594609324	2270.34574572416	1395.38596589167
TTC9	11.5283377300287	77.6637883118129	6.20251755736192	7.11707130321054	69.82219389602
TTC9B	1.6469053900041	9.24568908473963	6.20251755736192	7.11707130321054	11.6370323160033
TTC9C	1627.96597801905	1315.66155675845	1641.59964684846	1660.64997074913	1263.14696230073
TTF1	881.094383652193	679.558147728363	670.905649121315	780.505486252089	854.792919211881
TTF2	1991.93206920996	855.226240338416	606.812967695241	788.808736105835	967.989506285732
TTI1	1227.76796824806	884.812445409583	772.213435891559	958.432268832352	960.584122084639
TTI2	412.549800196027	470.605574413247	363.881030031899	360.598279362667	413.643603232482
TTK	2214.26429686051	220.047400216803	246.033196442023	353.481208059457	721.496003592207
TTL	6225.30237421549	3644.65063720436	3679.12666444185	4356.83381611538	3918.50615440694
TTLL1	523.715914021303	880.189600867213	808.394788309504	696.286809164098	830.460942551147
TTLL10	1.6469053900041	0	0	0	0
TTLL10-AS1	0	0	0	0	0
TTLL11	367.259901970914	488.172383674253	452.78378168742	553.945383099887	403.064482945206
TTLL12	3223.81730093302	1764.07747736832	1870.05904354462	1587.10690061595	2595.05820646874
TTLL13P	0	0.924568908473963	0	2.37235710107018	0
TTLL2	0	0	0	0	0
TTLL3	1529.15165461881	2286.45891065611	1204.32215905444	2112.58399850299	1264.20487432945
TTLL4	914.855944147277	702.672370440212	598.542944285426	661.88763119858	733.13303590821
TTLL5	1422.10280426854	920.870632840068	984.132785768092	998.762339550545	1064.25950089994
