Geneid	HH07	HH17	HH18	HH19	HH27
ENSG00000142627.12	3091	1747	1980	659	5380
ENSG00000227959.1	22	4	9	6	24
ENSG00000224621.1	7	3	2	1	4
ENSG00000234166.1	0	0	0	0	0
ENSG00000142632.16	521	469	241	295	549
ENSG00000237276.8	58	149	36	85	38
ENSG00000132881.11	269	491	385	266	218
ENSG00000233929.1	1	4	2	0	1
ENSG00000037637.10	1401	1726	1503	987	1122
ENSG00000055070.16	14844	7694	7999	6786	8925
ENSG00000226457.1	0	0	1	2	3
ENSG00000187144.11	0	0	0	0	0
ENSG00000157191.19	6720	4669	4782	4722	4102
ENSG00000226029.1	44	89	14	32	53
ENSG00000080947.14	381	410	244	316	341
ENSG00000206652.1	0	0	0	0	0
ENSG00000261135.1	0	0	2	0	3
ENSG00000285853.1	0	0	0	0	0
ENSG00000224174.2	0	0	0	0	0
ENSG00000233421.4	0	0	0	0	0
ENSG00000277344.1	0	0	0	0	0
ENSG00000225710.1	0	2	2	0	1
ENSG00000219481.10	3914	3838	1767	2718	2575
ENSG00000271732.1	1	2	2	0	0
ENSG00000215908.10	1883	1366	797	1184	1152
ENSG00000283773.1	0	0	0	0	0
ENSG00000186301.8	93	82	134	138	50
ENSG00000282143.1	0	0	0	0	0
ENSG00000207513.1	0	0	0	0	0
ENSG00000280114.1	0	2	2	0	0
ENSG00000236698.1	53	26	19	21	35
ENSG00000268869.5	0	0	0	0	0
ENSG00000279151.1	0	0	0	0	0
ENSG00000282740.1	0	0	0	0	2
ENSG00000058453.16	1706	2219	1712	1336	1602
ENSG00000227684.2	0	2	0	0	0
ENSG00000207389.1	0	0	0	0	0
ENSG00000186715.11	21	34	42	28	12
ENSG00000223643.6	0	0	0	0	0
ENSG00000230239.1	0	0	0	0	0
ENSG00000263811.1	0	0	0	0	0
ENSG00000228549.3	0	0	0	0	0
ENSG00000277234.1	0	0	0	0	0
ENSG00000238142.1	33	45	49	31	32
ENSG00000235241.1	7	1	1	3	0
ENSG00000207005.1	0	1	0	0	0
ENSG00000272426.1	0	2	2	2	0
ENSG00000117122.13	5130	6722	8205	6714	12565
ENSG00000226526.1	4	19	19	26	13
ENSG00000159363.17	1794	1899	2782	1044	1757
ENSG00000117118.9	3565	2702	2383	2239	2734
ENSG00000117115.12	2	10	160	2	22
ENSG00000204362.6	71	14	182	31	71
ENSG00000282843.1	0	0	0	0	0
ENSG00000142623.10	18	6	86	8	48
ENSG00000142619.4	0	0	2	0	0
ENSG00000266634.1	0	0	0	0	0
ENSG00000159339.13	0	0	0	0	0
ENSG00000276747.1	0	0	0	0	0
ENSG00000227751.1	0	0	0	0	0
ENSG00000179051.13	5474	4128	4193	3584	5109
ENSG00000074964.16	2209	2177	2070	1638	1470
ENSG00000236648.1	0	0	0	0	0
ENSG00000117148.7	6	2	2	4	2
ENSG00000284653.1	0	0	0	0	0
ENSG00000261781.1	0	0	0	0	0
ENSG00000117154.11	0	0	0	0	0
ENSG00000280222.1	0	0	0	0	0
ENSG00000230035.2	0	0	0	0	0
ENSG00000225387.1	0	0	0	0	0
ENSG00000179023.8	4	0	0	0	0
ENSG00000235282.3	0	0	0	0	0
ENSG00000225478.2	0	0	0	0	0
ENSG00000009709.11	0	0	0	0	0
ENSG00000179002.5	0	0	0	0	0
ENSG00000255275.3	0	0	0	1	0
ENSG00000159423.16	918	564	628	515	766
ENSG00000265606.1	0	0	0	0	0
ENSG00000221662.1	0	0	0	0	0
ENSG00000169991.10	1866	945	1069	961	1729
ENSG00000272084.1	43	12	24	21	8
ENSG00000127481.14	15640	16410	14938	11484	10910
ENSG00000230424.1	20	34	37	17	42
ENSG00000127463.14	7500	6495	6169	5388	7009
ENSG00000053372.4	4252	2154	2148	1838	2675
ENSG00000211454.13	17	10	28	10	11
ENSG00000162482.4	76	63	28	41	22
ENSG00000270728.1	63	54	60	44	49
ENSG00000053371.12	4107	2843	2847	2784	2459
ENSG00000200403.1	5	7	4	4	0
ENSG00000040487.12	1478	1424	1458	1227	1132
ENSG00000077549.17	30599	21966	21717	19731	24233
ENSG00000240490.3	0	0	4	0	0
ENSG00000173436.14	289	330	234	213	178
ENSG00000201609.1	0	0	0	0	0
ENSG00000235185.1	0	0	0	0	0
ENSG00000158747.14	9623	8371	5030	7175	2962
ENSG00000270136.6	0	1	0	0	0
ENSG00000226396.1	31	24	30	6	5
ENSG00000158748.3	4	4	0	0	0
ENSG00000162542.13	2264	903	916	1082	809
